iter	Passed	Remaining
0	1	157
1	2	141
2	3	118
3	4	102
4	4	94
5	5	88
6	6	84
7	7	81
8	7	78
9	9	83
10	10	83
11	11	84
12	12	85
13	14	87
14	15	88
15	16	87
16	17	84
17	18	82
18	18	80
19	19	77
20	20	75
21	20	74
22	21	72
23	23	75
24	25	76
25	26	75
26	27	73
27	27	71
28	28	70
29	29	68
30	30	67
31	30	65
32	31	64
33	32	63
34	33	61
35	34	60
36	34	59
37	36	59
38	37	58
39	38	57
40	38	56
41	39	54
42	40	53
43	41	52
44	41	51
45	42	50
46	43	49
47	44	48
48	45	47
49	46	46
50	47	45
51	47	44
52	48	43
53	49	42
54	50	40
55	50	39
56	51	38
57	52	37
58	52	36
59	53	35
60	54	34
61	55	33
62	55	32
63	56	31
64	57	30
65	58	29
66	58	28
67	59	27
68	60	27
69	60	26
70	61	25
71	62	24
72	63	23
73	64	22
74	65	21
75	65	20
76	66	19
77	67	18
78	67	18
79	68	17
80	69	16
81	69	15
82	70	14
83	71	13
84	71	12
85	72	11
86	73	10
87	74	10
88	74	9
89	75	8
90	76	7
91	77	6
92	77	5
93	78	5
94	79	4
95	79	3
96	80	2
97	81	1
98	81	0
99	82	0
