iter	Passed	Remaining
0	157	157193
1	158	79138
2	159	53068
3	160	40012
4	161	32212
5	162	26959
6	163	23232
7	164	20444
8	166	18285
9	167	16543
10	168	15106
11	169	13970
12	170	12959
13	171	12098
14	172	11352
15	173	10686
16	174	10102
17	175	9589
18	176	9131
19	177	8714
20	178	8334
21	179	7987
22	180	7668
23	184	7483
24	184	7214
25	185	6963
26	186	6725
27	187	6507
28	188	6310
29	189	6121
30	190	5943
31	190	5775
32	191	5620
33	192	5475
34	193	5341
35	194	5212
36	195	5091
37	199	5045
38	200	4940
39	201	4833
40	202	4730
41	203	4631
42	203	4537
43	204	4448
44	205	4364
45	206	4282
46	207	4204
47	208	4129
48	209	4064
49	212	4033
50	213	3979
51	214	3917
52	215	3857
53	216	3799
54	218	3751
55	219	3695
56	220	3642
57	220	3589
58	221	3537
59	223	3496
60	224	3449
61	224	3403
62	228	3393
63	229	3353
64	230	3312
65	231	3271
66	232	3231
67	232	3192
68	233	3154
69	234	3115
70	235	3078
71	236	3051
72	237	3018
73	238	2984
74	239	2952
75	240	2920
76	243	2920
77	244	2894
78	245	2865
79	246	2836
80	247	2807
81	248	2780
82	248	2748
83	249	2721
84	250	2694
85	251	2675
86	252	2651
87	253	2627
88	254	2603
89	255	2580
90	258	2585
91	259	2564
92	260	2542
93	261	2520
94	262	2498
95	263	2477
96	263	2457
97	264	2437
98	265	2418
99	266	2402
100	268	2386
101	269	2373
102	270	2356
103	274	2363
104	275	2349
105	276	2333
106	277	2319
107	278	2303
108	280	2291
109	281	2278
110	282	2263
111	283	2248
112	284	2234
113	285	2220
114	290	2231
115	291	2218
116	291	2202
117	292	2187
118	293	2174
119	294	2160
120	295	2146
121	296	2130
122	296	2117
123	297	2103
124	298	2089
125	299	2076
126	300	2062
127	300	2049
128	301	2036
129	304	2041
130	305	2029
131	306	2017
132	307	2005
133	308	1995
134	309	1984
135	310	1972
136	311	1961
137	312	1950
138	313	1939
139	313	1928
140	314	1917
141	315	1905
142	316	1894
143	318	1896
144	320	1890
145	321	1881
146	322	1873
147	323	1864
148	325	1858
149	326	1849
150	327	1839
151	328	1830
152	328	1820
153	329	1811
154	330	1802
155	331	1793
156	335	1799
157	336	1793
158	337	1785
159	338	1777
160	339	1767
161	340	1759
162	340	1750
163	341	1742
164	342	1734
